Track Name,Artist Name,Album,Year,Popularity
Mis 4 Gatos,Paula Serrano,Mis 4 Gatos,2023,35
Rayando el Sol (feat. Pablo Alborán),Maná,Rayando El Sol (feat. Pablo Alborán),2019,70
Pegao,Camilo,Pegao,2022,70
Sin ti no soy nada,Loic & Mario,Sin ti no soy nada y Cuando zarpa el amor,2023,36
Mátame,Beret,Mátame,2023,70
En El Coche,Aitana,En El Coche,2022,70
Quién Diría,DePol,Quién Diría,2022,70
Acquamarina,Ana Mena,Acquamarina,2023,69
Santa Lucia - Remastered 2005,Miguel Ríos,Rocanrol Bumerang,1980,69
A fuego lento,Rosana,Lunas rotas,1996,68
¡Que Bonito!,Rosario,Mucho Por Vivir,1996,68
Qué Bonito Es Querer,Manuel Carrasco,La Cruz Del Mapa,2018,68
Ajedrez,David Bisbal,Ajedrez,2023,68
Contigo,Sebastian Yatra,Contigo,2022,67
Un Clásico,Ana Mena,Un Clásico,2023,68
Y Nos Dieron las Diez,Joaquín Sabina,Fisica Y Quimica,1992,67
Pajaros de Barro,Manolo Garcia,Arena En Los Bolsillos,1998,66
Diablo,Beret,Diablo,2022,66
Muero,Kany García,Muero,2022,66
PORTARSE MAL,Álvaro De Luna,PORTARSE MAL,2023,66
No Puedo Vivir Sin Ti,Los Ronaldos,4 Canciones,2007,66
Si Tú La Quieres,David Bisbal,Si Tú La Quieres,2020,66
DOS PRIMAVERAS,Nil Moliner,MEZCALITO,2023,66
Vivir (with Estopa),Rozalén,Vivir (with Estopa),2017,65
Olvidé Olvidarte,Marlon,Olvidé Olvidarte,2023,65
A Un Paso De La Luna,Ana Mena,A Un Paso De La Luna,2020,65
Lo Que Hará Mi Boca,Antonio José,Lo Que Hará Mi Boca,2021,65
Uno X Uno,Manuel Carrasco,Bailar El Viento,2015,65
Pero a tu lado,Los Secretos,Dos Caras Distintas,1995,65
Juramento eterno de sal,Álvaro De Luna,Juramento eterno de sal,2020,66
Carolina - En directo 2000,M-Clan,Sin Enchufe,2001,65
